Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
TheDad,8,6,21,3.5,24,4,7,5,6,7,12,21,1.75,24,2,79.0833,7,0.583333,0,5,12,13,2.6,4,0.8,3,0.6,98.2,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,4,741816074,2,0.5,0,0,0,0,39.5,11,21,1.90909,86.6364,4,0,4,8,1,2,85,0,7,13,3,1.85714,87.5714,0,0,0,0,0,0,0,
TheDad,9,1,6,6,6,6,2,0,0,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Czech1Czech2,9,7,16,2.28571,30,4.28571,7,6,7,5,14,16,1.14286,30,2.14286,82,7,0.5,0,11,15,27,2.45455,7,0.636364,4,0.363636,92.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,1,0.333333,45,14,24,1.71429,73.1429,1,1,9,13,0,1.44444,72.2222,1,5,11,1,2.2,74.8,0,0,0,0,0,0,0,
Mord,9,5,5,1,15,3,1,6,4,0,9,5,0.555556,15,1.66667,73.2222,1,0.111111,0,5,3,10,2,1,0.2,1,0.2,79.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,1.25,0,0,1,0.25,65.25,8,10,1.25,64.125,2,3,8,10,2,1.25,64.125,3,0,0,0,0,0,0,0,0,0,0,0,0,
Whooboy,9,6,11,1.83333,22,3.66667,4,4,2,1,12,11,0.916667,22,1.83333,76.25,4,0.333333,2,6,9,15,2.5,4,0.666667,1,0.166667,92.1667,1,0,2,2,0,0,0,0,99,0,0,0,0,0,0,0,0,0,5,5,5,1,0,0,0,0,52.6,8,15,1.875,75.875,2,1,7,13,2,1.85714,77.1429,1,1,2,0,2,67,0,0,0,0,0,0,0,
liam,8,7,12,1.71429,24,3.42857,7,3,10,5,14,12,0.857143,24,1.71429,71.2143,7,0.5,0,5,6,11,2.2,3,0.6,2,0.4,94.2,4,6,12,3,4,1,2,0.5,100,0,0,0,0,0,0,0,0,0,5,0,1,0.2,0,0,0,0,25.2,17,30,1.76471,81.2941,5,0,11,17,2,1.54545,78.8182,0,5,12,3,2.4,91,0,1,1,0,1,60,0,
ren9,9,1,6,6,6,6,2,1,4,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,48.8,0,1,5,5,0,1,48.8,1,0,0,0,0,0,0,0,0,0,0,0,0,
Jester,8,1,0,0,0,0,0,0,1,0,2,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35.5,2,4,2,93.5,1,0,2,4,1,2,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
ritteshstark,8,8,27,3.375,30,3.75,9,6,6,2,16,27,1.6875,30,1.875,71.125,9,0.5625,0,8,18,20,2.5,6,0.75,5,0.625,92.75,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,7,6,7,1,2,0.285714,0,0,42.2857,14,26,1.85714,76.2143,3,0,11,18,1,1.63636,73.3636,0,2,6,2,3,100,0,1,2,0,2,60,0,
Tukutae,9,4,12,3,17,4.25,4,2,5,0,8,12,1.5,17,2.125,85.625,4,0.5,2,1,0,1,1,0,0,0,0,52,7,12,16,2.28571,4,0.571429,4,0.571429,90.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,2,77.1111,2,0,9,18,2,2,77.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,
